epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(1, 1)",ALSO A CARD GAME,22,"(100,)",False,The name of this liquor made from juniper berries is also shorthand for a popular variant of rummy,gin,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(2, 1)",LITERARY LOVE TRIANGLES,29,"(100,)",False,"Sadly, by the time Scarlett chooses him over Ashley Wilkes in this Pulitzer Prize-winning novel, Rhett Butler just doesn't give a damn",Gone with the Wind,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(3, 1)",ABBA,30,"(100,)",False,"One of the bestselling albums of all time, ABBA's greatest hits compilation shares its name with this precious metal",gold,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(4, 1)",EATING ON THE GO,18,"(100,)",False,"This art museum has restaurants named Paul & Goguette conveniently located ""under the Pyramid""",the Louvre,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(5, 1)","SPELLING ""B""s",21,"(100,)",False,"This French-named hat follows ""green"" as worn by some U.S. Army special forces",B-E-R-E-T,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(6, 1)",AT THE END OF THE DAY,25,"(100,)",False,"In this classic sleepytime story, we wish sweet dreams to bears, chairs, clocks, socks & that glowing orb in the night sky",Goodnight Moon,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(1, 2)",ALSO A CARD GAME,7,"(200,)",False,"An octopus has 3 of these organs; 2 pump blood to the gills, 1 to the rest of the body",hearts,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(2, 2)",LITERARY LOVE TRIANGLES,27,"(200,)",False,"As if Capitol-mandated blood sport wasn't bad enough, Katniss also has to choose between Peeta & Gale in this series",Hunger Games,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(3, 2)",ABBA,20,"(200,)",False,2024 marked the 50th anniversary of ABBA becoming the first act from Sweden to win this international competition,Eurovision,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(4, 2)",EATING ON THE GO,3,"(200,)",False,"Grab a croissant at the Blue Box Café & you can literally have ""Breakfast at"" this famed New York City jewelry store",Tiffany's,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(5, 2)","SPELLING ""B""s",12,"(200,)",False,"In this city, the capital of Idaho, you can stay the night in a hotel shaped like a potato",B-O-I-S-E,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(6, 2)",AT THE END OF THE DAY,24,"(200,)",False,"Tossing & turning?  Try a gummy containing this ""hormone of darkness"" naturally produced by the body at nighttime",melatonin,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(1, 3)",ALSO A CARD GAME,8,"(300,)",False,"In a piece of jewelry, it's a single gem sitting all by its lonely, sparkly self",solitaire,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(2, 3)",LITERARY LOVE TRIANGLES,26,"(500,)",True,"Dear Diary: it's v. tough to quit smoking while stressed over 2 different men, like this love-seeking heroine",Bridget Jones,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(3, 3)",ABBA,10,"(300,)",False,"In a 1979 song, it's the lyric that follows ""Gimme, gimme, gimme""",a man after midnight,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(4, 3)",EATING ON THE GO,4,"(300,)",False,"Known for his love of cigars, this psychiatrist's London museum offers visitors cigar-shaped chocolates",Freud,0,0
pcj_33,2025-02-26,2025 Primetime Celebrity Jeopardy! quarterfinal game 7.,Jeopardy,"(5, 3)","SPELLING ""B""s",1,"(300,)",False,"Leshan, China is home to a 233-foot-tall statue of this religious figure; belly's looking good, B, you been working out?",B-U-D-D-H-A,0,0
