epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
bbab_1,1998-05-03,"1998 Battle of the Bay Area Brains.
From Zellerbach Auditorium at the University of California-Berkeley.
Benefiting the Bay Area chapter of the American Red Cross.
Aired only on KGO in the Northern California Bay Area.",Jeopardy,"(1, 1)",BAGHDAD NOT BY THE BAY,24,"(100,)",False,In 1991 the U.S. & its allies bombed Baghdad to force Iraq to get its troops out of this country,Kuwait,0,0
bbab_1,1998-05-03,"1998 Battle of the Bay Area Brains.
From Zellerbach Auditorium at the University of California-Berkeley.
Benefiting the Bay Area chapter of the American Red Cross.
Aired only on KGO in the Northern California Bay Area.",Jeopardy,"(2, 1)",JOE MONTANA,14,"(100,)",False,(San Francisco 49ers defensive lineman Bryant Young delivers the clue in person.)  Joe Montana & I both joined the 49ers from this college,Notre Dame,0,0
bbab_1,1998-05-03,"1998 Battle of the Bay Area Brains.
From Zellerbach Auditorium at the University of California-Berkeley.
Benefiting the Bay Area chapter of the American Red Cross.
Aired only on KGO in the Northern California Bay Area.",Jeopardy,"(3, 1)",ROOMIES,18,"(100,)",False,"In 1997 this star of ""Emma"" & ""Great Expectations"" bunked with her pal Winona Ryder",Gwyneth Paltrow,0,0
bbab_1,1998-05-03,"1998 Battle of the Bay Area Brains.
From Zellerbach Auditorium at the University of California-Berkeley.
Benefiting the Bay Area chapter of the American Red Cross.
Aired only on KGO in the Northern California Bay Area.",Jeopardy,"(4, 1)",FROM THE LATIN,6,"(100,)",False,"From the Latin for ""flat"", these instruments can be ""grand"" or ""upright""",a piano,0,0
bbab_1,1998-05-03,"1998 Battle of the Bay Area Brains.
From Zellerbach Auditorium at the University of California-Berkeley.
Benefiting the Bay Area chapter of the American Red Cross.
Aired only on KGO in the Northern California Bay Area.",Jeopardy,"(5, 1)",I LEFT MY HEART,11,"(100,)",False,In 1992 this Billy Ray Cyrus song was a No. 1 country hit as well as a No. 4 pop hit,"""Achy Breaky Heart""",0,0
bbab_1,1998-05-03,"1998 Battle of the Bay Area Brains.
From Zellerbach Auditorium at the University of California-Berkeley.
Benefiting the Bay Area chapter of the American Red Cross.
Aired only on KGO in the Northern California Bay Area.",Jeopardy,"(6, 1)",IN SAN FRANCISCO,1,"(100,)",False,3Com Park was still known by this name when the 1989 World Series was interrupted by an earthquake,Candlestick Park,0,0
bbab_1,1998-05-03,"1998 Battle of the Bay Area Brains.
From Zellerbach Auditorium at the University of California-Berkeley.
Benefiting the Bay Area chapter of the American Red Cross.
Aired only on KGO in the Northern California Bay Area.",Jeopardy,"(1, 2)",BAGHDAD NOT BY THE BAY,25,"(200,)",False,TV series that featured the Baghdad native seen here in doll form,I Dream of Jeannie,0,0
bbab_1,1998-05-03,"1998 Battle of the Bay Area Brains.
From Zellerbach Auditorium at the University of California-Berkeley.
Benefiting the Bay Area chapter of the American Red Cross.
Aired only on KGO in the Northern California Bay Area.",Jeopardy,"(2, 2)",JOE MONTANA,15,"(200,)",False,Joe ended his career having thrown 273 touchdown passes & just 139 of these,interceptions,0,0
bbab_1,1998-05-03,"1998 Battle of the Bay Area Brains.
From Zellerbach Auditorium at the University of California-Berkeley.
Benefiting the Bay Area chapter of the American Red Cross.
Aired only on KGO in the Northern California Bay Area.",Jeopardy,"(3, 2)",ROOMIES,19,"(1600,)",True,"(Vivian and Marian, the San Francisco Twins, deliver the clue in person and in unison.)  These co-stars & co-writers of ""Good Will Hunting"" were co-renters of a place in L.A.",Ben Affleck & Matt Damon,0,0
bbab_1,1998-05-03,"1998 Battle of the Bay Area Brains.
From Zellerbach Auditorium at the University of California-Berkeley.
Benefiting the Bay Area chapter of the American Red Cross.
Aired only on KGO in the Northern California Bay Area.",Jeopardy,"(4, 2)",FROM THE LATIN,7,"(200,)",False,"From the Latin for ""provisions for a journey"", it now means a journey; have a ""bon"" one!",voyage,0,0
