epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(1, 1)",WHAT COUNTRY ARE YOU FROM?,1,"(200,)",False,A Muscovite,Russia,1,0
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(2, 1)",LITERATURE,16,"(200,)",False,"Kobayashi Issa mastered this form; Robert Hass translated one as ""Don't worry, spiders / I keep house / casually""",haiku,1,0
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(3, 1)",1960s POP LYRICS,26,"(200,)",False,"In 1965 Petula Clark told us that ""when you're alone and life is making lonely, you can always go"" here",downtown,1,0
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(4, 1)",BEFORE HE WAS PRESIDENT,21,"(200,)",False,He was president of Princeton when the photo seen here was taken,Woodrow Wilson,1,0
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(5, 1)",GERMAN FOOD & DRINK,6,"(200,)",False,It's the main vegetable in Krautsuppe,cabbage,1,0
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(6, 1)","JUST ""ASP"" ME",7,"(200,)",False,"To comprehend, or take hold firmly with the hand",grasp,1,0
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(1, 2)",WHAT COUNTRY ARE YOU FROM?,2,"(400,)",False,A Cornishman,England,1,0
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(2, 2)",LITERATURE,17,"(400,)",False,"""Yossarian was moved very deeply by the absolute simplicity of this clause"", the title of a 1961 novel",Catch-22,1,0
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(3, 2)",1960s POP LYRICS,27,"(400,)",False,"Elvis' girl sent his letter back, writing on it this, ""address unknown, no such number, no such zone""",return to sender,1,0
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(4, 2)",BEFORE HE WAS PRESIDENT,22,"(400,)",False,This Californian was the last president who had previously been elected to both the House & the Senate,Nixon,1,0
7455,2017-01-27,Lisa Schlitt game 1.,Jeopardy,"(5, 2)",GERMAN FOOD & DRINK,8,"(400,)",False,"Sheboygan, Wisconsin is the self-proclaimed world capital of this German sausage",bratwurst,1,0
