epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(1, 1)",TELEVISION,1,"(50,)",False,Long-running Western about the Cartwright clan,Bonanza,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(2, 1)",U.S. LANDMARKS,7,"(50,)",False,"It scrapes the sky at 5th Avenue & 34th Street, New York City",the Empire State Building,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(3, 1)",CELEBRITY RELATIVES,12,"(50,)",False,"Shirley MacLaine's ""kid"" brother",Warren Beatty,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(4, 1)",FOOD,15,"(50,)",False,The most widely eaten fungus,a mushroom,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(5, 1)",SUPERSTITIONS,6,"(50,)",False,Number of years of bad luck that comes from breaking a mirror,7,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(6, 1)",AWARDS,14,"(50,)",False,This late singer's 28 gold records were the most ever awarded to an individual,Elvis (Presley),0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(1, 2)",TELEVISION,2,"(100,)",False,"He's been Bentley Gregg, the Angels' Charlie, & Blake Carrington",John Forsythe,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(2, 2)",U.S. LANDMARKS,8,"(100,)",False,"Named for the channel it spans, this California bridge is really orange",the Golden Gate,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(3, 2)",CELEBRITY RELATIVES,16,"(100,)",False,Mary Martin's boy who's developed a Dallas drawl,Larry Hagman,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(4, 2)",FOOD,27,"(100,)",False,"Jewish deli substitute for ""pate de foie gras""",chopped chicken livers,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(5, 2)",SUPERSTITIONS,13,"(100,)",False,The way a horseshoe's legs should point when it's hung for good luck,up,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(6, 2)",AWARDS,20,"(100,)",False,The annual awards given by the Academy of Motion Picture Arts & Sciences,the Oscar,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(1, 3)",TELEVISION,3,"(150,)",False,Eddie Murphy's impersonation has revived interest in this little green guy,Gumby,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(2, 3)",U.S. LANDMARKS,9,"(150,)",False,"From the Spanish for ""Cottonwood"", the site where Jim Bowie & Davy Crockett died",the Alamo,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(3, 3)",CELEBRITY RELATIVES,17,"(150,)",False,She's Dear Abby's twin sister,Ann Landers,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(4, 3)",FOOD,28,"(150,)",False,"This ""heavenly"" candy is made of whipped egg whites, sugar, & nuts",divinity,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(5, 3)",SUPERSTITIONS,24,"(150,)",False,"What actors say on opening night instead of ""good luck""",break a leg,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(6, 3)",AWARDS,23,"(150,)",False,Lech Walesa sent his wife to accept this award,the Nobel (Peace) Prize,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(1, 4)",TELEVISION,4,"(200,)",False,"The greeting which opened each episode of ""Alfred Hitchcock Presents""","""Good evening""",0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(2, 4)",U.S. LANDMARKS,10,"(200,)",False,The building on the back of a $20 bill,the White House,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(3, 4)",CELEBRITY RELATIVES,18,"(200,)",False,Carrie Fisher's famous parents,Debbie Reynolds & Eddie Fisher,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(4, 4)",FOOD,29,"(200,)",False,"Order ""calamari"" in an Italian restaurant and you'll get this seafood",squid,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(5, 4)",SUPERSTITIONS,25,"(200,)",False,"An omen of bad luck in Da Vinci's famous painting ""The Last Supper""",the spilt salt shaker (or 13 at the table),0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(6, 4)",AWARDS,22,"(200,)",False,The highest award given to an American serviceman,the Congressional Medal of Honor,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(1, 5)",TELEVISION,5,"(250,)",True,"Of 5 series spun off of ""All in the Family"" the only one still in production",The Jeffersons,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(2, 5)",U.S. LANDMARKS,11,"(250,)",False,"The view from this Colorado summit inspired the song ""America the Beautiful""",Pike's Peak,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(3, 5)",CELEBRITY RELATIVES,19,"(250,)",False,"They were ""Minnie's boys""",the Marx Brothers,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(5, 5)",SUPERSTITIONS,26,"(250,)",False,French warrior & statesman morbidly afraid of cats & the number 13,Napoleon,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Jeopardy,"(6, 5)",AWARDS,21,"(250,)",False,It's the award given each year's most outstanding major league pitcher,the Cy Young Award,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Double Jeopardy,"(1, 1)",CIVIL WAR,1,"(100,)",False,First shot of the Civil War was fired there,Fort Sumter,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Double Jeopardy,"(2, 1)",TOYS & GAMES,20,"(100,)",False,Popular doll that comes with adoption papers,a Cabbage Patch Kid,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Double Jeopardy,"(3, 1)",MOVIES,6,"(100,)",False,"Resembling a rock video, this film inspired off-the-shoulder sweatshirt fashions",Flashdance,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Double Jeopardy,"(4, 1)",SPORTS LEGENDS,9,"(100,)",False,His home-run records were broken by Maris & Aaron,Babe Ruth,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Double Jeopardy,"(5, 1)",STATE NAMES,14,"(100,)",False,The only state named after a president,Washington,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Double Jeopardy,"(6, 1)",FAMOUS PAIRS,11,"(100,)",False,The Brothers Grimm wrote about these 2 children of a broom maker,Hansel & Gretel,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Double Jeopardy,"(1, 2)",CIVIL WAR,2,"(200,)",False,It was the capital of the Confederacy,"Richmond, Viriginia",0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Double Jeopardy,"(2, 2)",TOYS & GAMES,26,"(200,)",False,"In Monopoly, the corner between Boardwalk & Mediterranean",Go,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Double Jeopardy,"(3, 2)",MOVIES,7,"(200,)",False,"Her film ""Yentl"" has been called ""Tootsie on the Roof""",Barbra Streisand,0,0
trebekpilots_2,1984-01-01,"Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert.",Double Jeopardy,"(4, 2)",SPORTS LEGENDS,10,"(200,)",False,"He has an I.Q. of 131, has written a best-seller, and stands 7'2"" tall",Kareem Abdul-Jabbar,0,0
