epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(1, 1)","""B"" IN GEOGRAPHY",7,"(200,)",False,Strait separating Alaska & the Soviet Union,the Bering Strait,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(2, 1)",ANIMALS,8,"(200,)",False,Many of these animals forming the Great Barrier Reef are being eaten by crown-of-thorns starfish,coral,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(3, 1)",GOLDEN OLDIES,6,"(200,)",False,"Title city of 1967 Scott McKenzie hit subtitled ""Be Sure To Wear Some Flowers In Your Hair""",San Francisco,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(4, 1)",CHEMISTRY,26,"(200,)",False,By its formula you could call this common substance oxygen hydride,water (H2O),0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(5, 1)",FIRST LADIES,1,"(200,)",False,"Shortly after their wedding Ike told her, ""My country comes first and always will.  You come second.""",Mamie Doud Eisenhower,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(6, 1)",IN THE NEWS,15,"(200,)",False,"For the 1st time, members of this organization established by JFK are being sent to Poland & Hungary",the Peace Corps,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(1, 2)","""B"" IN GEOGRAPHY",9,"(400,)",False,The Ganges & Irrawaddy are among the rivers emptying into this large bay,the Bay of Bengal,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(2, 2)",ANIMALS,16,"(400,)",False,"The down this type of duck produces is used to line nests & for jackets, quilts, pillows & sleeping bags",eider,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(3, 2)",GOLDEN OLDIES,10,"(400,)",False,"In Bobbie Gentry's hit song ""Ode To Billie Joe"", Billie Joe jumped off this bridge",the Tallahatchie,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(4, 2)",CHEMISTRY,27,"(400,)",False,"Bronze & brass are examples of this, a mixture of 2 or more metals",an alloy,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(5, 2)",FIRST LADIES,2,"(400,)",False,Barbara Bush & Raisa Gorbachev spoke at the 1990 commencement at this college,Wellesley,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(6, 2)",IN THE NEWS,18,"(400,)",False,Ronald Reagan was the star witness at the trial of this former national security advisor,John Poindexter,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(1, 3)","""B"" IN GEOGRAPHY",11,"(600,)",False,Region of France between the Seine & Marne Valleys famous for its soft white cheese,Brie,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(2, 3)",ANIMALS,17,"(600,)",False,"This bright green beetle, a major plant pest, was brought to the U.S. from the orient circa 1916",a Japanese beetle,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(3, 3)",GOLDEN OLDIES,12,"(600,)",False,"""There's a crazy little house beyond the tracks, & ev'rybody calls it"" this",the Sugar Shack,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(4, 3)",CHEMISTRY,28,"(600,)",False,This gas is the chief constituent of natural gas,methane,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(5, 3)",FIRST LADIES,3,"(600,)",False,The cologne worn by this wife of our 4th president is still being marketed,Dolley Madison,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(6, 3)",IN THE NEWS,22,"(600,)",False,"The town of Kalapana, Hawaii has been virtually destroyed by lava from this volcano",Kîlauea,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(1, 4)","""B"" IN GEOGRAPHY",19,"(800,)",False,"Alpine Pass connecting Innsbruck, Austria & Bolzano, Italy",the Brenner,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(2, 4)",ANIMALS,20,"(800,)",False,They're the only living members of the mammalian family Proboscidea,elephants,0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(3, 4)",GOLDEN OLDIES,13,"(800,)",False,"Of this car, Ronny & The Daytonas sang, ""You're really looking fine, 3 deuces & a 4-speed, & a 389""","""Little GTO""",0,0
superjeopardy_1,1990-06-16,Super Jeopardy! quarterfinal game 1.,Jeopardy,"(4, 4)",CHEMISTRY,29,"(800,)",False,Lampblack consists mostly of this element,carbon,0,0
