epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(1, 1)",HERE COMES 39,1,"(200,)",False,"39 of the 55 assembled delegates signed this document in Philadelphia on September 17, 1787",the Constitution,1,1
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(2, 1)",WORLD CAPITAL RHYME TIME,6,"(200,)",False,A Hungarian exam,a Budapest test,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(3, 1)",ALL KINDS OF DOORS,17,"(200,)",False,"It can mean a high rate of personnel turnover, or an entryway like the elegant ones at New York City's Plaza Hotel",a revolving door,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(4, 1)",WRITERS & THEIR WORKS,26,"(200,)",False,"One-name title of Alexandra Ripley's sequel to ""Gone with the Wind""; Ashley finally proposes, but she says no",Scarlett,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(5, 1)",CHUMP CHANGE,10,"(200,)",False,Change a letter to get this big winner,a champ,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(6, 1)",RALPH MACCHIO TALKS COBRA KAI,15,"(200,)",False,"(Ralph Macchio presents the clue.) But what does ""Cobra Kai"" even mean? Well, ""kai"" is a gathering, so ""Cobra Kai"" is ""an assembly of cobras""--fierce fighters who meet in this type of room & school to train",a dojo,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(1, 2)",HERE COMES 39,2,"(400,)",False,"A popular tourist spot, Pier 39 in this California city features many attractions, including the Aquarium of the Bay",San Francisco,1,1
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(2, 2)",WORLD CAPITAL RHYME TIME,7,"(400,)",False,A Korean parchment curled up for storage,a Seoul scroll,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(3, 2)",ALL KINDS OF DOORS,18,"(400,)",False,The entryway at this London address features a Georgian era glossed-black door with lion's head knocker & a 10,10 Downing Street,1,1
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(4, 2)",WRITERS & THEIR WORKS,27,"(400,)",False,This novel by Andy Weir about a stranded astronaut was originally self-published,The Martian,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(5, 2)",CHUMP CHANGE,11,"(400,)",False,Drop a letter to get this dromedary dome,a hump,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(6, 2)",RALPH MACCHIO TALKS COBRA KAI,22,"(400,)",False,"(Ralph Macchio presents the clue.) Just as Daniel once used this bird kick against Johnny to great effect, Johnny's student Miguel got similar results with it",the crane,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(1, 3)",HERE COMES 39,3,"(600,)",False,In 1972 this team retired catcher Roy Campanella's No. 39 on the same day as it retired his teammate's famous 42,Dodgers,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(2, 3)",WORLD CAPITAL RHYME TIME,8,"(600,)",False,A Lebanese matching jacket & trousers,a Beirut suit,1,0
8696,2022-09-12,"Luigi de Guzman game 2.
First game of Season 39.
Ken Jennings hosts.
Return to a full studio audience.",Jeopardy,"(3, 3)",ALL KINDS OF DOORS,19,"(600,)",False,The 80-mile-long Door Peninsula separates Wisconsin's Green Bay from the rest of this Great Lake,Lake Michigan,1,0
