epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(1, 1)",MOUNTAINS,26,"(200,)",False,Air Force photos from 1949 show what some believe are the ruins of Noah's Ark on this Turkish mountain,Mount Ararat,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(2, 1)",ALBUMS,6,"(200,)",False,"In June 1967 The Beatles released this album about an ""act you've known for all these years""",Sgt. Pepper\'s Lonely Hearts Club Band,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(3, 1)",LIBROS EN ESPANOL,1,"(200,)",False,"Golding:""El Senor de las Moscas""","""Lord of the Flies""",1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(4, 1)",POLITICS,11,"(200,)",False,"You're on this ""wing"" if you support traditional values & the conservative party line",right-wing,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(5, 1)",POTPOURRI,21,"(200,)",False,"First name of director Marshall, Garry's sister",Penny,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(6, 1)",POTABLE WORDS,12,"(200,)",False,"A cotton-cleaning device, or a cry in a card game saying you've completed your hand",gin,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(1, 2)",MOUNTAINS,27,"(400,)",False,Seen here is one of Hokusai's famous wood-block prints of this mountain,Mount Fuji,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(2, 2)",ALBUMS,7,"(400,)",False,"His 1989 album ""The End of the Innocence"" won him a Grammy for Best Rock Vocal",Don Henley,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(3, 2)",LIBROS EN ESPANOL,2,"(1000,)",True,"Hemingway: ""El Viejo y el Mar""","""The Old Man and the Sea""",1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(4, 2)",POLITICS,13,"(400,)",False,A fellow traveler sympathizes with this party,Communist Party,0,3
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(5, 2)",POTPOURRI,22,"(400,)",False,"Edison proposed using sheets of this metal, used with cadmium in a battery, as a substitute for paper in books",nickel,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(6, 2)",POTABLE WORDS,14,"(400,)",False,It's the opposite of starboard,port,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(1, 3)",MOUNTAINS,28,"(600,)",False,The Pindus Mountains of this country separate Thessaly from Epirus,Greece,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(2, 3)",ALBUMS,8,"(600,)",False,"This New Wave group's album ""Shake It Up"" begins with the lachrymose ""Since You're Gone""",The Cars,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(3, 3)",LIBROS EN ESPANOL,3,"(600,)",False,"Stephen King:""Corazones en la Atlantida""","""Hearts in Atlantis""",1,1
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(4, 3)",POLITICS,18,"(600,)",False,"Before a U.S. general election, these elections are held to determine the party candidates",primaries,2,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(5, 3)",POTPOURRI,23,"(600,)",False,"Things that are commonplace are a this ""a dozen""",dime,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(6, 3)",POTABLE WORDS,15,"(600,)",False,"The band Looking Glass found her ""a fine girl""","""Brandy""",1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(1, 4)",MOUNTAINS,29,"(800,)",False,One of Frederick Cook's unproven claims was that he was first to reach the summit of this highest U.S. mountain,Mount McKinley,1,1
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(2, 4)",ALBUMS,9,"(800,)",False,"The soundtrack of this 1988 U2 film included ""Angel of Harlem"", recorded at Memphis' famed Sun Studios",Rattle and Hum,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(3, 4)",LIBROS EN ESPANOL,4,"(800,)",False,"Vonnegut:""Matadero Cinco""","""Slaughterhouse Five""",1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(4, 4)",POLITICS,19,"(800,)",False,Vote a straight one & it's all for one party; vote a split one & you pick from multiple parties,ticket,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(5, 4)",POTPOURRI,24,"(800,)",False,"This ""master"" takes care of clothing & providing sustenance for a body of troops",quartermaster,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(6, 4)",POTABLE WORDS,16,"(800,)",False,To strike with a fist or make a hole in a ticket,punch,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(1, 5)",MOUNTAINS,30,"(1000,)",False,"(Alex T. in Africa)  Coffee beans are still widely grown on the slopes of this mountain, Africa's second-highest",Mount Kenya,0,3
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(2, 5)",ALBUMS,10,"(1000,)",False,"In 2001 their ""Mellon Collie and the Infinite Sadness"" CD was certified 9 times platinum",Smashing Pumpkins,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(3, 5)",LIBROS EN ESPANOL,5,"(1000,)",False,"Saint-Exupery:""El Principito""","""The Little Prince""",1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(4, 5)",POLITICS,20,"(1000,)",False,"A contraction of ""procuracy"", it's a person you authorize to vote in your place",proxy,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(5, 5)",POTPOURRI,25,"(1000,)",False,"Founded in L.A. in 1965, this rent-a-car agency was acquired by Chrysler in 1990",Dollar Rent-a-Car,0,3
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Jeopardy,"(6, 5)",POTABLE WORDS,17,"(1000,)",False,It's the residue coal leaves after destructive distillation,coke,0,3
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Double Jeopardy,"(1, 1)",WRITERS' PLOTS,1,"(400,)",False,"He's interred at his former home at 18354 Ventura Blvd. in Encino, not Tarzana, California",Edgar Rice Burroughs,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Double Jeopardy,"(2, 1)",WELL TRAINED,11,"(400,)",False,"The Japanese call this ""ballistic"" train the Shinkansen",bullet train,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Double Jeopardy,"(3, 1)","THE ""BIG"" PICTURE",4,"(400,)",False,1999:Adam Sandler takes on fatherhood,Big Daddy,1,0
4263,2003-02-26,"(Sofia: I'm at the Science Museum of Minnesota, trying to figure out what this is for; find out with me on Jeopardy!.)",Double Jeopardy,"(4, 1)",19th CENTURY WOMEN,12,"(400,)",False,"Little men & women might enjoy reading her other children's books, including ""An Old-Fashioned Girl""",Louisa May Alcott,1,0
