epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(1, 1)",SHOOTING MY LITERARY SHOT,25,"(200,)",False,"He tells Buttercup, ""I have made my body strong because I thought you might be pleased""--hey now!",Westley,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(2, 1)",THIRTYSOMETHINGS,27,"(200,)",False,In 2011 Filipino-American Bobby Murphy co-founded this app associated with ephemerality... & doggy filters,SnapChat,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(3, 1)",RECTANGLED,28,"(200,)",False,"Also seen on fabrics, this pattern with a fishy moniker is achieved in brickwork using rectangles",herringbone,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(4, 1)",AMERICAN IDOL ALUMS,24,"(200,)",False,"3 years after winning ""Idol"", in 2008 she was inducted into the Grand Ole Opry at age 25 by Garth Brooks",Underwood,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(5, 1)",NAKED WITHOUT THEIR PREFIXES,30,"(200,)",False,"Sure, with ""in-"" it gets all the ink (permanently), but sans prefix this word from the Latin delere means able to be erased",delible,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(6, 1)","""H"" TOWN",15,"(200,)",False,"Behold the star-shaped Citadel, the fourth in a series of forts on Citadel Hill in this Canadian city on the Atlantic",Halifax,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(1, 2)",SHOOTING MY LITERARY SHOT,23,"(400,)",False,"At the end of this novel by Donna Tartt, Theo hopes to woo Pippa, but she rejects him & his gift of an expensive necklace",The Goldfinch,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(2, 2)",THIRTYSOMETHINGS,26,"(400,)",False,In 2024 Jess Hilarious joined this radio show with Charlamagne tha God & DJ Envy,The Breakfast Club,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(3, 2)",RECTANGLED,10,"(400,)",False,"On a map these 2 neighboring states, the 38th & 44th, look almost like perfect rectangles",Colorado & Wyoming,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(4, 2)",AMERICAN IDOL ALUMS,8,"(400,)",False,"Apparently very into singing contests, this ""Idol"" winner & talk TV fixture began coaching up new hopefuls on ""The Voice"" in 2018",Kelly Clarkson,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(5, 2)",NAKED WITHOUT THEIR PREFIXES,29,"(400,)",False,"More familiar with ""pro-"" or ""anti-"", this type of ""factor"" is a living organism that shapes its environment",a biotic factor,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(6, 2)","""H"" TOWN",14,"(400,)",False,"Take an ""A"" & train it on the name of a NYC neighborhood & you'll arrive at your destination in this city in the Netherlands",Harlem,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(1, 3)",SHOOTING MY LITERARY SHOT,22,"(600,)",False,"In this E.M. Forster work, George shoots his shot with Lucy & goes in for a big old smooch in an Italian field of blue violets",A Room with a View,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(2, 3)",THIRTYSOMETHINGS,21,"(600,)",False,Katie Bouman was instrumental in creating the first-ever picture of this black hole at the center of our galaxy,Sagittarius A*,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(3, 3)",RECTANGLED,9,"(600,)",False,"Using rectangles in works like ""Composition No. 1 with Red and Black"", this artist espoused what he called ""Neoplasticism""",Mondrian,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(4, 3)",AMERICAN IDOL ALUMS,5,"(600,)",False,Adam Lambert had big shoes to fill--like the size of a certain planet--singing lead with this British band in 2012,Queen,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(5, 3)",NAKED WITHOUT THEIR PREFIXES,20,"(600,)",False,"P.G. Wodehouse was one of the first to drop ""dis-"" & form this word meaning satisfied & contented",gruntled,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(6, 3)","""H"" TOWN",13,"(600,)",False,Many a millennial child was sad to learn that Space Camp in this city's U.S. Space & Rocket Center didn't really end with a launch,Huntsville (Alabama),0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(1, 4)",SHOOTING MY LITERARY SHOT,3,"(800,)",False,"In this Jane Austen work, Wentworth writes a love letter to Anne Elliot while she sits just a few feet away from him",Persuasion,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(2, 4)",THIRTYSOMETHINGS,18,"(800,)",False,In 2019 this author & chef launched the Eat.Learn.Play. Foundation in Oakland with her baller husband,Ayesha Curry,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(3, 4)",RECTANGLED,2,"(800,)",False,"In a Gothic cathedral, these 2 long rectangles intersect to form the arms of a cross",the nave & the transept,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(4, 4)",AMERICAN IDOL ALUMS,7,"(800,)",False,"This powerhouse singer became the 17th person to claim EGOT status (but inexplicably, can't claim an ""Idol"" win)",Jennifer Hudson,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(5, 4)",NAKED WITHOUT THEIR PREFIXES,19,"(800,)",False,"It may be obsolete, but even without ""re-"", this word with ""qu"" in the middle means to give something up, like a boxer with a title",linquish,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(6, 4)","""H"" TOWN",12,"(800,)",False,Mount Wellington towers over this city in Australia's smallest state,Hobart (Tasmania),0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(1, 5)",SHOOTING MY LITERARY SHOT,4,"(1000,)",False,"The Lothario M. Boulanger woos this wife of a country doctor by talking of ""dreams, presentiments, magnetism""",Bovary,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(2, 5)",THIRTYSOMETHINGS,17,"(1000,)",False,"In 2020 a New York Times headline read, ""Democrats' Georgia Hopes Rest on"" this man, age 33",(Jon) Ossoff,0,0
jm_36,2024-05-20,2024 Jeopardy! Masters semifinal game 4.,Jeopardy,"(3, 5)",RECTANGLED,1,"(1000,)",False,"It's the term for a usually rectangular division in the top left corner of a flag, perhaps to hold a group of stars",the canton,0,0
