epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(1, 1)",COMMENCEMENT,30,"(200,)",False,"In 1959 Arlene Pieper became the USA's first woman to finish one of these races, at Pikes Peak: Boston refused her entry",the marathon,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(2, 1)",2 WORDS TO COMPLETE THE PHRASE,29,"(200,)",False,"""When life gives you lemons...""",make lemonade,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(3, 1)",THE 1920s,27,"(200,)",False,"It was all the rage & musicians like Louis Armstrong & Bix Beiderbecke made the 1920s its ""Age""",jazz,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(4, 1)",ALL SORTS OF BOOKS,23,"(200,)",False,"In a David Hazan graphic novel, the Sheriff of Nottingham is after a serial killer & terrorists lurk in this forest",Sherwood Forest,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(5, 1)",OUTDOOR ACTIVITIES,28,"(200,)",False,"Since 1909 when it was ""bring your own basket"", this wholesome outdoor gathering has been a tradition at UC Davis",picnic,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(6, 1)",FAMOUS AQUARIANS,26,"(200,)",False,"Those born under the sign of Aquarius are said to be assertive, like this billionaire behind the OWN TV network",(Oprah) Winfrey,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(1, 2)",COMMENCEMENT,19,"(400,)",False,In 1907 Harvard grad Alain Locke became the first African-American recipient of one of these Oxford awards,the Rhodes Scholarship,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(2, 2)",2 WORDS TO COMPLETE THE PHRASE,20,"(400,)",False,"""I came, I saw, ...""",I conquered,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(3, 2)",THE 1920s,21,"(400,)",False,This term was used for a new kind of emancipated woman who rebelled against ladylike conventionality,a flapper,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(4, 2)",ALL SORTS OF BOOKS,22,"(400,)",False,"Anchee Min's ""Wild Ginger"" is set against the backdrop of this revolution launched by Mao in his final years",the Cultural Revolution,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(5, 2)",OUTDOOR ACTIVITIES,24,"(400,)",False,"At Swans Trail Farm in Snohomish, Washington, the whole family can enjoy picking these from trees",apples,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(6, 2)",FAMOUS AQUARIANS,25,"(400,)",False,"This ""Creed"" star & this basketball legend of the same name are both Aquarians",Michael Jordan,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(1, 3)",COMMENCEMENT,18,"(600,)",False,"This Cleveland museum opened its doors September 2, 1995 & celebrated with a concert",the Rock & Roll Hall of Fame,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(2, 3)",2 WORDS TO COMPLETE THE PHRASE,17,"(600,)",False,"A legal principle:""Ignorance of the law is...""",no excuse,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(3, 3)",THE 1920s,16,"(600,)",False,She rose to fame as a groundbreaking fashion designer & also introduced an iconic perfume,Chanel,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(4, 3)",ALL SORTS OF BOOKS,13,"(600,)",False,"A tale of immigrants from Africa is Imbolo Mbue's ""Behold"" these people, also a term for DACA recipients",Dreamers,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(5, 3)",OUTDOOR ACTIVITIES,12,"(600,)",False,"On a summer day, you're not too old to run through these, such as the oscillating type",a sprinkler,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(6, 3)",FAMOUS AQUARIANS,15,"(600,)",False,"Seen here, this actress has grown into being an activist for STEM awareness",Shahidi,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(1, 4)",COMMENCEMENT,9,"(4800,)",True,This first manned U.S. space flight program got off the ground with the 1961 launch of Alan Shepard in Freedom 7,Project Mercury,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(2, 4)",2 WORDS TO COMPLETE THE PHRASE,10,"(800,)",False,"Among AFI's 100 Greatest Movie Quotes of All Time:""E.T. ...""",phone home,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(3, 4)",THE 1920s,2,"(800,)",False,"At almost 80 years old, he attended the dedication of his father's memorial in 1922",Robert Todd Lincoln,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(4, 4)",ALL SORTS OF BOOKS,4,"(800,)",False,"In ""The Code Breaker"" we learn of Jennifer Doudna & her work on this gene-editing technology",CRISPR,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(5, 4)",OUTDOOR ACTIVITIES,11,"(800,)",False,"Unlike the -boarding activity, in this one, you drop the tow rope",wakesurfing,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(6, 4)",FAMOUS AQUARIANS,14,"(800,)",False,"This singer was actually born on Friday, Feb. 16, 1990 in Toronto to parents from Ethiopia",The Weeknd,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(1, 5)",COMMENCEMENT,8,"(1000,)",False,"On April 14, 1910 he became the first president to throw out the first pitch at the start of a Major League Baseball game",Taft,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(2, 5)",2 WORDS TO COMPLETE THE PHRASE,7,"(1000,)",False,"A principle often attributed to Hippocrates & followed by doctors:""First do...""",no harm,0,0
ncc_7,2022-02-11,2022 National College Championship quarterfinal game 7.,Jeopardy,"(3, 5)",THE 1920s,1,"(1000,)",False,Gertrude Stein used this 2-word term to describe a group of disillusioned American writers in Europe,the Lost Generation,0,0
