epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(1, 1)",JANUARY IN HISTORY,21,"(200,)",False,"It says that on the 1st of January 1863 ""all persons held as slaves... shall be then, thenceforward, and forever free""",the Emancipation Proclamation,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(2, 1)",CHRISTOPHER PLUMMER PUDDING,22,"(200,)",False,"(Christopher Plummer delivers the clue.)  In 2012 at age 82 I became the oldest winner of a competitive acting Oscar; the record for a male actor had stood for 36 years, since this beloved 80-year-old comedian took the honors in 1976 for ""The Sunshine Boys""",(George) Burns,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(3, 1)",GEMSTONES! MEET THE GEMSTONES!,30,"(200,)",False,"Don't be deceived by this, a compound of sulfur & iron whose name comes from the Greek for ""fire""",pyrite,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(4, 1)",CYBERSECURITY,29,"(200,)",False,This type of hacker referred to by a colorful bit of headwear helpfully tests computer systems for vulnerability,white-hat,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(5, 1)",JUST THE FACTS,27,"(200,)",False,"Of the 4 main blood groups, this one is the most common; that group negative is the universal donor",O,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(6, 1)","AN ""OK"" CATEGORY",25,"(200,)",False,Your matching percentage on this dating site is determined by a complicated algorithm,OkCupid,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(1, 2)",JANUARY IN HISTORY,20,"(400,)",False,In 1914 this motor company instituted a wage of $5 per day & shortened the work day to 8 hours,Ford,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(2, 2)",CHRISTOPHER PLUMMER PUDDING,19,"(400,)",False,"(Christopher Plummer delivers the clue.)  I've played King Lear, Hamlet, Oedipus, Pizarro; but perhaps my most challenging role, if you could believe it, was in this 1965 movie that for a while was the top-grossing film of all time",The Sound of Music,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(3, 2)",GEMSTONES! MEET THE GEMSTONES!,23,"(400,)",False,This variety of beryl shares its name with a 10-letter color,aquamarine,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(4, 2)",CYBERSECURITY,28,"(400,)",False,A website with a site certificate is one that uses encryption; this letter after http is one sign of it,s,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(5, 2)",JUST THE FACTS,26,"(400,)",False,Real vanilla flavoring comes from certain climbing species of this tropical plant,orchid,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(6, 2)","AN ""OK"" CATEGORY",24,"(400,)",False,"A 2019 New York Times article says this 2-word phrase ""marks the end of friendly generational relations""","""OK boomer""",0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(1, 3)",JANUARY IN HISTORY,3,"(600,)",False,In Jan. 1900 he got out of Siberian exile; in Jan. 1918 he abolished Russia's assembly & established a dictatorship,Lenin,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(2, 3)",CHRISTOPHER PLUMMER PUDDING,14,"(600,)",False,"(Christopher Plummer delivers the clue.)  In 1968 I loaned this fellow Canadian the money for a plane ticket from London to L.A. so he could audition for the movie role that would change his life; the movie was ""M*A*S*H""--& I got my money back",Donald Sutherland,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(3, 3)",GEMSTONES! MEET THE GEMSTONES!,7,"(5000,)",True,This birthstone is used in abrasives for polishing & grinding; the color pairs with gold as an official one for Florida State,garnet,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(4, 3)",CYBERSECURITY,18,"(600,)",False,"Companies consider cybersecurity when instructing employees with a policy on BYOD, short for this",bring your own device,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(5, 3)",JUST THE FACTS,15,"(600,)",False,Chinese & Portuguese are the official languages of this special administrative region of China,Macau,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(6, 3)","AN ""OK"" CATEGORY",12,"(600,)",False,"""Subterranean Homesick Alien"" is on this Radiohead album",OK Computer,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(1, 4)",JANUARY IN HISTORY,2,"(800,)",False,"The January 1870 cartoon ""A Live Jackass Kicking a Dead Lion"" was this man's first use of a donkey to symbolize Democrats",Nast,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(2, 4)",CHRISTOPHER PLUMMER PUDDING,17,"(800,)",False,"(Christopher Plummer delivers the clue.)  My dearest friend was this late actor; we often appeared onstage together & he won 2 consecutive Oscars in the 1970s, the first for playing newspaperman Ben Bradlee",Jason Robards,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(3, 4)",GEMSTONES! MEET THE GEMSTONES!,5,"(800,)",False,"We quote the ancient Wang Chung: ""Take your baby by the wrist, & in her mouth"" this purple quartz variety & February birthstone",amethyst,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(4, 4)",CYBERSECURITY,6,"(800,)",False,"A ransomware attack that encrypted 3,800 City of Atlanta computers demanded 6 of these digital items to unfreeze them",Bitcoins,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(5, 4)",JUST THE FACTS,13,"(800,)",False,This largest moon of Pluto is about half the dwarf planet's size,Charon,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(6, 4)","AN ""OK"" CATEGORY",11,"(800,)",False,"This group was at one point the house band for ""This American Life"" on public radio",OK Go,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(1, 5)",JANUARY IN HISTORY,1,"(1000,)",False,"Angered at the U.N.'s support of Malaysia, this Indonesian president withdrew his country from the U.N. in January 1965",Sukarno,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(2, 5)",CHRISTOPHER PLUMMER PUDDING,16,"(1000,)",False,"(Christopher Plummer delivers the clue.)  In the film ""The Last Station"" I play this Russian author caught between his worshipers & family; the title refers to the setting of my death scene",Tolstoy,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(3, 5)",GEMSTONES! MEET THE GEMSTONES!,4,"(1000,)",False,"Let's get sanguine about this mineral AKA heliotrope, prized in the Middle Ages",bloodstone,0,0
goattournament_6,2020-01-09,"Jeopardy!: The Greatest of All Time match 3, game 2.",Jeopardy,"(4, 5)",CYBERSECURITY,8,"(1000,)",False,Beware of these types of programs that track every stroke you make while typing in an effort to glean your password,keylogging programs,0,0
